,date,country,price
1960,1974-03-31,Canada,24.76
1961,1974-03-31,Switzerland,-9.98
1973,1974-03-31,United Kingdom,0.8
2012,1974-03-31,South Africa,3.66
2021,1974-06-30,Canada,22.37
2022,1974-06-30,Switzerland,-8.21
2034,1974-06-30,United Kingdom,-6.08
2073,1974-06-30,South Africa,1.67
2082,1974-09-30,Canada,12.89
2083,1974-09-30,Switzerland,-10.39
2095,1974-09-30,United Kingdom,-11.14
2134,1974-09-30,South Africa,-5.9
2143,1974-12-31,Canada,2.27
2144,1974-12-31,Switzerland,-8.28
2156,1974-12-31,United Kingdom,-11.76
2195,1974-12-31,South Africa,-9.7
2204,1975-03-31,Canada,-2.12
2205,1975-03-31,Switzerland,-10.68
2217,1975-03-31,United Kingdom,-13.21
2256,1975-03-31,South Africa,-4.67
2265,1975-06-30,Canada,-2.24
2266,1975-06-30,Switzerland,-12.37
2278,1975-06-30,United Kingdom,-13.88
2317,1975-06-30,South Africa,-4.19
2326,1975-09-30,Canada,1.49
2327,1975-09-30,Switzerland,-12.28
2339,1975-09-30,United Kingdom,-13.74
2378,1975-09-30,South Africa,-3.22
2387,1975-12-31,Canada,6.28
2388,1975-12-31,Switzerland,-9.92
2400,1975-12-31,United Kingdom,-12.79
2439,1975-12-31,South Africa,-0.24
2448,1976-03-31,Canada,5.69
2449,1976-03-31,Switzerland,-7.62
2461,1976-03-31,United Kingdom,-10.05
2500,1976-03-31,South Africa,-3.66
2509,1976-06-30,Canada,4.49
2510,1976-06-30,Switzerland,-4.6
2522,1976-06-30,United Kingdom,-4.81
2561,1976-06-30,South Africa,-4.15
2570,1976-09-30,Canada,3.23
2571,1976-09-30,Switzerland,-4.47
2583,1976-09-30,United Kingdom,-4.15
2622,1976-09-30,South Africa,-4.2
2631,1976-12-31,Canada,3.52
2632,1976-12-31,Switzerland,-0.88
2644,1976-12-31,United Kingdom,-4.23
2681,1976-12-31,United States,8.15
2683,1976-12-31,South Africa,-6.09
2692,1977-03-31,Canada,-0.49
2693,1977-03-31,Switzerland,1.43
2705,1977-03-31,United Kingdom,-7.46
2742,1977-03-31,United States,6.89
2744,1977-03-31,South Africa,-8.19
2753,1977-06-30,Canada,-2.36
2754,1977-06-30,Switzerland,1.44
2766,1977-06-30,United Kingdom,-8.97
2803,1977-06-30,United States,9.81
2805,1977-06-30,South Africa,-8.98
2814,1977-09-30,Canada,-3.45
2815,1977-09-30,Switzerland,4.64
2827,1977-09-30,United Kingdom,-7.75
2864,1977-09-30,United States,9.51
2866,1977-09-30,South Africa,-8.31
2875,1977-12-31,Canada,-4.9
2876,1977-12-31,Switzerland,1.37
2888,1977-12-31,United Kingdom,-3.34
2925,1977-12-31,United States,9.01
2927,1977-12-31,South Africa,-7.97
2936,1978-03-31,Canada,-6.0
2937,1978-03-31,Switzerland,0.51
2949,1978-03-31,United Kingdom,1.43
2986,1978-03-31,United States,8.7
2988,1978-03-31,South Africa,-6.67
2997,1978-06-30,Canada,-3.4
2998,1978-06-30,Switzerland,1.81
3010,1978-06-30,United Kingdom,6.31
3047,1978-06-30,United States,7.46
3049,1978-06-30,South Africa,-6.61
3058,1978-09-30,Canada,-3.58
3059,1978-09-30,Switzerland,1.78
3071,1978-09-30,United Kingdom,10.41
3108,1978-09-30,United States,6.65
3110,1978-09-30,South Africa,-7.06
3119,1978-12-31,Canada,-1.47
3120,1978-12-31,Switzerland,5.68
3132,1978-12-31,United Kingdom,14.45
3169,1978-12-31,United States,5.87
3171,1978-12-31,South Africa,-4.67
3180,1979-03-31,Canada,2.12
3181,1979-03-31,Switzerland,6.85
3193,1979-03-31,United Kingdom,17.01
3230,1979-03-31,United States,5.43
3232,1979-03-31,South Africa,-3.61
3241,1979-06-30,Canada,0.99
3242,1979-06-30,Switzerland,2.98
3254,1979-06-30,United Kingdom,19.64
3291,1979-06-30,United States,5.23
3293,1979-06-30,South Africa,-0.9
3302,1979-09-30,Canada,1.23
3303,1979-09-30,Switzerland,4.03
3315,1979-09-30,United Kingdom,15.67
3352,1979-09-30,United States,4.42
3354,1979-09-30,South Africa,-0.09
3363,1979-12-31,Canada,0.34
3364,1979-12-31,Switzerland,3.24
3376,1979-12-31,United Kingdom,12.94
3413,1979-12-31,United States,3.57
3415,1979-12-31,South Africa,0.5
3424,1980-03-31,Canada,-1.58
3425,1980-03-31,Switzerland,6.88
3437,1980-03-31,United Kingdom,11.47
3474,1980-03-31,United States,0.22
3476,1980-03-31,South Africa,2.55
3485,1980-06-30,Canada,0.23
3486,1980-06-30,Switzerland,5.58
3498,1980-06-30,United Kingdom,4.64
3535,1980-06-30,United States,-2.35
3537,1980-06-30,South Africa,5.32
3546,1980-09-30,Canada,3.9
3547,1980-09-30,Switzerland,3.88
3559,1980-09-30,United Kingdom,5.08
3596,1980-09-30,United States,-2.2
3598,1980-09-30,South Africa,12.21
3607,1980-12-31,Canada,5.32
3608,1980-12-31,Switzerland,2.43
3620,1980-12-31,United Kingdom,0.19
3622,1980-12-31,Hong Kong SAR,20.0
3643,1980-12-31,New Zealand,-3.26
3657,1980-12-31,United States,-3.28
3659,1980-12-31,South Africa,15.12
3668,1981-03-31,Canada,6.47
3669,1981-03-31,Switzerland,0.83
3681,1981-03-31,United Kingdom,-3.54
3683,1981-03-31,Hong Kong SAR,18.07
3704,1981-03-31,New Zealand,-0.66
3718,1981-03-31,United States,-2.35
3719,1981-03-31,Euro area,1.53
3720,1981-03-31,South Africa,19.34
3729,1981-06-30,Canada,2.91
3730,1981-06-30,Switzerland,5.27
3742,1981-06-30,United Kingdom,-3.85
3744,1981-06-30,Hong Kong SAR,16.44
3765,1981-06-30,New Zealand,4.72
3779,1981-06-30,United States,-1.45
3780,1981-06-30,Euro area,3.49
3781,1981-06-30,South Africa,22.54
3790,1981-09-30,Canada,1.21
3791,1981-09-30,Switzerland,2.63
3803,1981-09-30,United Kingdom,-5.94
3805,1981-09-30,Hong Kong SAR,6.4
3826,1981-09-30,New Zealand,8.71
3840,1981-09-30,United States,-4.05
3841,1981-09-30,Euro area,2.82
3842,1981-09-30,South Africa,20.08
3851,1981-12-31,Canada,-3.16
3852,1981-12-31,Switzerland,2.57
3864,1981-12-31,United Kingdom,-8.21
3866,1981-12-31,Hong Kong SAR,-6.17
3887,1981-12-31,New Zealand,13.71
3901,1981-12-31,United States,-3.98
3902,1981-12-31,Euro area,-0.34
3903,1981-12-31,South Africa,17.75
3912,1982-03-31,Canada,-9.73
3913,1982-03-31,Switzerland,2.51
3925,1982-03-31,United Kingdom,-9.22
3927,1982-03-31,Hong Kong SAR,-17.98
3948,1982-03-31,New Zealand,18.41
3962,1982-03-31,United States,-3.5
3963,1982-03-31,Euro area,-4.64
3964,1982-03-31,South Africa,12.94
3973,1982-06-30,Canada,-14.29
3974,1982-06-30,Switzerland,-1.73
3986,1982-06-30,United Kingdom,-6.62
3988,1982-06-30,Hong Kong SAR,-20.31
4009,1982-06-30,New Zealand,17.01
4023,1982-06-30,United States,-3.97
4024,1982-06-30,Euro area,-7.23
4025,1982-06-30,South Africa,5.68
4034,1982-09-30,Canada,-17.31
4035,1982-09-30,Switzerland,-1.47
4047,1982-09-30,United Kingdom,-4.66
4049,1982-09-30,Hong Kong SAR,-23.83
4070,1982-09-30,New Zealand,11.58
4084,1982-09-30,United States,-3.78
4085,1982-09-30,Euro area,-7.75
4086,1982-09-30,South Africa,3.01
4095,1982-12-31,Canada,-15.98
4096,1982-12-31,Switzerland,-1.83
4108,1982-12-31,United Kingdom,-0.83
4110,1982-12-31,Hong Kong SAR,-26.24
4131,1982-12-31,New Zealand,6.67
4145,1982-12-31,United States,-2.99
4146,1982-12-31,Euro area,-6.49
4147,1982-12-31,South Africa,-0.17
4156,1983-03-31,Canada,-4.74
4157,1983-03-31,Switzerland,-3.0
4169,1983-03-31,United Kingdom,5.22
4171,1983-03-31,Hong Kong SAR,-24.79
4192,1983-03-31,New Zealand,2.0
4206,1983-03-31,United States,-1.67
4207,1983-03-31,Euro area,-3.78
4208,1983-03-31,South Africa,1.43
4217,1983-06-30,Canada,1.08
4218,1983-06-30,Switzerland,0.59
4230,1983-06-30,United Kingdom,6.13
4232,1983-06-30,Hong Kong SAR,-21.9
4253,1983-06-30,New Zealand,-0.31
4267,1983-06-30,United States,-0.25
4268,1983-06-30,Euro area,-1.94
4269,1983-06-30,South Africa,5.42
4278,1983-09-30,Canada,2.24
4279,1983-09-30,Switzerland,4.3
4291,1983-09-30,United Kingdom,7.55
4293,1983-09-30,Hong Kong SAR,-20.5
4314,1983-09-30,New Zealand,2.64
4328,1983-09-30,United States,1.7
4329,1983-09-30,Euro area,-1.57
4330,1983-09-30,South Africa,8.07
4339,1983-12-31,Canada,1.08
4340,1983-12-31,Switzerland,4.2
4352,1983-12-31,United Kingdom,7.02
4354,1983-12-31,Hong Kong SAR,-21.66
4375,1983-12-31,New Zealand,5.5
4389,1983-12-31,United States,1.68
4390,1983-12-31,Euro area,-2.37
4391,1983-12-31,South Africa,12.71
4400,1984-03-31,Canada,-5.93
4401,1984-03-31,Switzerland,4.19
4413,1984-03-31,United Kingdom,5.09
4415,1984-03-31,Hong Kong SAR,-14.63
4436,1984-03-31,New Zealand,7.85
4450,1984-03-31,United States,0.76
4451,1984-03-31,Euro area,-4.05
4452,1984-03-31,South Africa,9.37
4461,1984-06-30,Canada,-4.85
4462,1984-06-30,Switzerland,4.89
4474,1984-06-30,United Kingdom,4.28
4476,1984-06-30,Hong Kong SAR,-13.75
4497,1984-06-30,New Zealand,8.1
4511,1984-06-30,United States,0.84
4512,1984-06-30,Euro area,-4.97
4513,1984-06-30,South Africa,1.77
4522,1984-09-30,Canada,-4.66
4523,1984-09-30,Switzerland,2.32
4535,1984-09-30,United Kingdom,4.55
4537,1984-09-30,Hong Kong SAR,-14.38
4558,1984-09-30,New Zealand,6.13
4572,1984-09-30,United States,0.78
4573,1984-09-30,Euro area,-5.06
4574,1984-09-30,South Africa,-4.48
4583,1984-12-31,Canada,-3.69
4584,1984-12-31,Switzerland,1.42
4596,1984-12-31,United Kingdom,5.35
4598,1984-12-31,Hong Kong SAR,-5.39
4619,1984-12-31,New Zealand,3.33
4633,1984-12-31,United States,0.6
4634,1984-12-31,Euro area,-4.65
4635,1984-12-31,South Africa,-13.15
4644,1985-03-31,Canada,-1.53
4645,1985-03-31,Switzerland,2.46
4657,1985-03-31,United Kingdom,3.72
4659,1985-03-31,Hong Kong SAR,-3.3
4680,1985-03-31,New Zealand,-0.33
4694,1985-03-31,United States,1.03
4695,1985-03-31,Euro area,-4.2
4696,1985-03-31,South Africa,-19.25
4705,1985-06-30,Canada,-0.16
4706,1985-06-30,Switzerland,-0.13
4718,1985-06-30,United Kingdom,3.82
4720,1985-06-30,Hong Kong SAR,1.44
4741,1985-06-30,New Zealand,-2.59
4755,1985-06-30,United States,1.38
4756,1985-06-30,Euro area,-3.82
4757,1985-06-30,South Africa,-21.36
4766,1985-09-30,Canada,2.1
4767,1985-09-30,Switzerland,1.92
4779,1985-09-30,United Kingdom,2.29
4781,1985-09-30,Hong Kong SAR,13.65
4802,1985-09-30,New Zealand,-1.32
4816,1985-09-30,United States,1.93
4817,1985-09-30,Euro area,-2.8
4818,1985-09-30,South Africa,-21.7
4827,1985-12-31,Canada,5.1
4828,1985-12-31,Switzerland,2.43
4840,1985-12-31,United Kingdom,4.5
4842,1985-12-31,Hong Kong SAR,16.33
4863,1985-12-31,New Zealand,-0.09
4877,1985-12-31,United States,2.78
4878,1985-12-31,Euro area,-2.16
4879,1985-12-31,South Africa,-20.27
4888,1986-03-31,Canada,8.76
4889,1986-03-31,Switzerland,4.42
4901,1986-03-31,United Kingdom,7.3
4903,1986-03-31,Hong Kong SAR,12.17
4924,1986-03-31,New Zealand,0.5
4938,1986-03-31,United States,3.9
4939,1986-03-31,Euro area,-0.87
4940,1986-03-31,South Africa,-20.01
4949,1986-06-30,Canada,12.04
4950,1986-06-30,Switzerland,4.52
4962,1986-06-30,United Kingdom,9.34
4964,1986-06-30,Hong Kong SAR,7.8
4985,1986-06-30,New Zealand,0.39
4999,1986-06-30,United States,5.69
5000,1986-06-30,Euro area,0.7
5001,1986-06-30,South Africa,-18.69
5010,1986-09-30,Canada,13.15
5011,1986-09-30,Switzerland,5.27
5023,1986-09-30,United Kingdom,11.64
5025,1986-09-30,Hong Kong SAR,6.4
5046,1986-09-30,New Zealand,-1.76
5060,1986-09-30,United States,6.63
5061,1986-09-30,Euro area,1.83
5062,1986-09-30,South Africa,-19.19
5071,1986-12-31,Canada,15.78
5072,1986-12-31,Switzerland,5.47
5084,1986-12-31,United Kingdom,11.12
5086,1986-12-31,Hong Kong SAR,7.35
5107,1986-12-31,New Zealand,-8.73
5121,1986-12-31,United States,7.22
5122,1986-12-31,Euro area,3.62
5123,1986-12-31,South Africa,-18.32
5132,1987-03-31,Canada,19.04
5133,1987-03-31,Switzerland,3.79
5145,1987-03-31,United Kingdom,11.74
5147,1987-03-31,Hong Kong SAR,15.36
5157,1987-03-31,Korea,-3.82
5168,1987-03-31,New Zealand,-5.48
5176,1987-03-31,Sweden,8.03
5182,1987-03-31,United States,6.98
5183,1987-03-31,Euro area,5.27
5184,1987-03-31,South Africa,-12.79
5193,1987-06-30,Canada,11.29
5194,1987-06-30,Switzerland,7.0
5206,1987-06-30,United Kingdom,11.99
5208,1987-06-30,Hong Kong SAR,20.35
5218,1987-06-30,Korea,-4.27
5229,1987-06-30,New Zealand,-2.67
5237,1987-06-30,Sweden,8.71
5243,1987-06-30,United States,5.7
5244,1987-06-30,Euro area,6.1
5245,1987-06-30,South Africa,-7.89
5254,1987-09-30,Canada,9.53
5255,1987-09-30,Switzerland,6.08
5267,1987-09-30,United Kingdom,12.83
5269,1987-09-30,Hong Kong SAR,18.56
5279,1987-09-30,Korea,-2.87
5290,1987-09-30,New Zealand,1.55
5298,1987-09-30,Sweden,7.82
5304,1987-09-30,United States,5.11
5305,1987-09-30,Euro area,6.54
5306,1987-09-30,South Africa,-2.9
5315,1987-12-31,Canada,8.43
5316,1987-12-31,Switzerland,7.45
5328,1987-12-31,United Kingdom,15.97
5330,1987-12-31,Hong Kong SAR,12.58
5340,1987-12-31,Korea,0.65
5351,1987-12-31,New Zealand,11.06
5359,1987-12-31,Sweden,8.64
5365,1987-12-31,United States,4.66
5366,1987-12-31,Euro area,6.7
5367,1987-12-31,South Africa,1.6
5376,1988-03-31,Canada,9.36
5377,1988-03-31,Switzerland,8.74
5389,1988-03-31,United Kingdom,17.78
5391,1988-03-31,Hong Kong SAR,7.57
5401,1988-03-31,Korea,3.7
5412,1988-03-31,New Zealand,8.7
5420,1988-03-31,Sweden,9.7
5426,1988-03-31,United States,4.22
5427,1988-03-31,Euro area,6.77
5428,1988-03-31,South Africa,3.14
5437,1988-06-30,Canada,13.22
5438,1988-06-30,Switzerland,9.16
5450,1988-06-30,United Kingdom,18.67
5452,1988-06-30,Hong Kong SAR,9.51
5462,1988-06-30,Korea,9.62
5473,1988-06-30,New Zealand,9.16
5481,1988-06-30,Sweden,10.2
5487,1988-06-30,United States,4.4
5488,1988-06-30,Euro area,6.95
5489,1988-06-30,South Africa,1.81
5498,1988-09-30,Canada,14.34
5499,1988-09-30,Switzerland,11.64
5511,1988-09-30,United Kingdom,27.18
5513,1988-09-30,Hong Kong SAR,12.35
5523,1988-09-30,Korea,11.62
5534,1988-09-30,New Zealand,5.5
5542,1988-09-30,Sweden,13.98
5548,1988-09-30,United States,4.91
5549,1988-09-30,Euro area,7.08
5550,1988-09-30,South Africa,2.24
5559,1988-12-31,Canada,17.09
5560,1988-12-31,Switzerland,14.17
5572,1988-12-31,United Kingdom,27.23
5574,1988-12-31,Hong Kong SAR,19.38
5584,1988-12-31,Korea,6.6
5595,1988-12-31,New Zealand,2.37
5603,1988-12-31,Sweden,12.49
5609,1988-12-31,United States,5.24
5610,1988-12-31,Euro area,7.46
5611,1988-12-31,South Africa,1.1
5620,1989-03-31,Canada,17.49
5621,1989-03-31,Switzerland,12.6
5624,1989-03-31,Colombia,3.6
5633,1989-03-31,United Kingdom,24.18
5635,1989-03-31,Hong Kong SAR,26.56
5645,1989-03-31,Korea,7.68
5656,1989-03-31,New Zealand,2.71
5664,1989-03-31,Sweden,12.95
5670,1989-03-31,United States,5.22
5671,1989-03-31,Euro area,7.66
5672,1989-03-31,South Africa,-0.49
5681,1989-06-30,Canada,4.65
5682,1989-06-30,Switzerland,10.04
5685,1989-06-30,Colombia,16.45
5694,1989-06-30,United Kingdom,20.92
5696,1989-06-30,Hong Kong SAR,19.94
5706,1989-06-30,Korea,10.06
5717,1989-06-30,New Zealand,0.35
5725,1989-06-30,Sweden,13.43
5731,1989-06-30,United States,3.75
5732,1989-06-30,Euro area,7.68
5733,1989-06-30,South Africa,0.81
5742,1989-09-30,Canada,5.69
5743,1989-09-30,Switzerland,6.93
5746,1989-09-30,Colombia,-0.05
5755,1989-09-30,United Kingdom,10.66
5757,1989-09-30,Hong Kong SAR,7.68
5767,1989-09-30,Korea,6.61
5778,1989-09-30,New Zealand,-0.99
5786,1989-09-30,Sweden,11.37
5792,1989-09-30,United States,2.78
5793,1989-09-30,Euro area,7.92
5794,1989-09-30,South Africa,0.29
5803,1989-12-31,Canada,3.42
5804,1989-12-31,Switzerland,3.36
5807,1989-12-31,Colombia,5.49
5816,1989-12-31,United Kingdom,1.66
5818,1989-12-31,Hong Kong SAR,6.42
5828,1989-12-31,Korea,7.54
5839,1989-12-31,New Zealand,0.1
5847,1989-12-31,Sweden,8.95
5853,1989-12-31,United States,1.72
5854,1989-12-31,Euro area,7.67
5855,1989-12-31,South Africa,-0.69
5864,1990-03-31,Canada,-7.88
5865,1990-03-31,Switzerland,0.2
5868,1990-03-31,Colombia,2.14
5877,1990-03-31,United Kingdom,-2.87
5879,1990-03-31,Hong Kong SAR,-1.02
5889,1990-03-31,Korea,7.26
5900,1990-03-31,New Zealand,-0.12
5908,1990-03-31,Sweden,6.07
5914,1990-03-31,United States,0.0
5915,1990-03-31,Euro area,7.5
5916,1990-03-31,South Africa,0.34
5925,1990-06-30,Canada,-5.2
5926,1990-06-30,Switzerland,-0.87
5929,1990-06-30,Colombia,-5.38
5938,1990-06-30,United Kingdom,-7.81
5940,1990-06-30,Hong Kong SAR,-2.5
5950,1990-06-30,Korea,5.66
5961,1990-06-30,New Zealand,-0.56
5969,1990-06-30,Sweden,2.51
5975,1990-06-30,United States,-0.6
5976,1990-06-30,Euro area,7.44
5977,1990-06-30,South Africa,1.35
5986,1990-09-30,Canada,-6.48
5987,1990-09-30,Switzerland,-3.89
5990,1990-09-30,Colombia,-0.26
5999,1990-09-30,United Kingdom,-9.98
6001,1990-09-30,Hong Kong SAR,4.93
6011,1990-09-30,Korea,7.54
6022,1990-09-30,New Zealand,0.21
6030,1990-09-30,Sweden,-0.39
6036,1990-09-30,United States,-3.16
6037,1990-09-30,Euro area,6.81
6038,1990-09-30,South Africa,0.35
6047,1990-12-31,Canada,-11.51
6048,1990-12-31,Switzerland,-7.89
6051,1990-12-31,Colombia,-3.33
6060,1990-12-31,United Kingdom,-9.78
6062,1990-12-31,Hong Kong SAR,2.7
6072,1990-12-31,Korea,10.96
6083,1990-12-31,New Zealand,-1.95
6091,1990-12-31,Sweden,-2.41
6097,1990-12-31,United States,-5.6
6098,1990-12-31,Euro area,5.87
6099,1990-12-31,South Africa,-0.71
6108,1991-03-31,Canada,-6.87
6109,1991-03-31,Switzerland,-8.56
6112,1991-03-31,Colombia,-11.73
6121,1991-03-31,United Kingdom,-8.48
6123,1991-03-31,Hong Kong SAR,3.66
6131,1991-03-31,Italy,10.58
6133,1991-03-31,Korea,7.08
6144,1991-03-31,New Zealand,-5.42
6152,1991-03-31,Sweden,-1.58
6158,1991-03-31,United States,-6.22
6159,1991-03-31,Euro area,5.32
6160,1991-03-31,South Africa,-1.57
6169,1991-06-30,Canada,3.58
6170,1991-06-30,Switzerland,-8.26
6173,1991-06-30,Colombia,-2.21
6182,1991-06-30,United Kingdom,-9.2
6184,1991-06-30,Hong Kong SAR,14.48
6192,1991-06-30,Italy,9.98
6194,1991-06-30,Korea,4.17
6205,1991-06-30,New Zealand,-5.82
6213,1991-06-30,Sweden,-3.07
6219,1991-06-30,United States,-5.72
6220,1991-06-30,Euro area,4.36
6221,1991-06-30,South Africa,-2.54
6230,1991-09-30,Canada,-2.4
6231,1991-09-30,Switzerland,-5.17
6234,1991-09-30,Colombia,-9.89
6243,1991-09-30,United Kingdom,-8.36
6245,1991-09-30,Hong Kong SAR,30.13
6253,1991-09-30,Italy,8.56
6255,1991-09-30,Korea,0.26
6266,1991-09-30,New Zealand,-4.59
6274,1991-09-30,Sweden,-2.88
6280,1991-09-30,United States,-4.57
6281,1991-09-30,Euro area,3.12
6282,1991-09-30,South Africa,-1.5
6291,1991-12-31,Canada,-0.4
6292,1991-12-31,Switzerland,-4.98
6295,1991-12-31,Colombia,-5.42
6304,1991-12-31,United Kingdom,-7.22
6306,1991-12-31,Hong Kong SAR,40.46
6314,1991-12-31,Italy,7.14
6316,1991-12-31,Korea,-6.84
6327,1991-12-31,New Zealand,-3.43
6335,1991-12-31,Sweden,-1.85
6341,1991-12-31,United States,-3.49
6342,1991-12-31,Euro area,2.78
6343,1991-12-31,South Africa,-1.07
6352,1992-03-31,Canada,-1.02
6353,1992-03-31,Switzerland,-5.26
6356,1992-03-31,Colombia,-2.71
6365,1992-03-31,United Kingdom,-7.37
6367,1992-03-31,Hong Kong SAR,45.96
6375,1992-03-31,Italy,8.52
6377,1992-03-31,Korea,-9.58
6388,1992-03-31,New Zealand,-2.0
6396,1992-03-31,Sweden,-8.6
6402,1992-03-31,United States,-2.68
6403,1992-03-31,Euro area,1.83
6404,1992-03-31,South Africa,-3.47
6413,1992-06-30,Canada,-3.47
6414,1992-06-30,Switzerland,-6.75
6417,1992-06-30,Colombia,-7.43
6426,1992-06-30,United Kingdom,-6.99
6428,1992-06-30,Hong Kong SAR,41.88
6436,1992-06-30,Italy,9.15
6438,1992-06-30,Korea,-14.21
6449,1992-06-30,New Zealand,0.3
6457,1992-06-30,Sweden,-8.87
6463,1992-06-30,United States,-3.34
6464,1992-06-30,Euro area,0.97
6465,1992-06-30,South Africa,-8.37
6474,1992-09-30,Canada,2.7
6475,1992-09-30,Switzerland,-10.64
6478,1992-09-30,Colombia,-5.86
6487,1992-09-30,United Kingdom,-7.58
6489,1992-09-30,Hong Kong SAR,23.68
6497,1992-09-30,Italy,10.11
6499,1992-09-30,Korea,-13.79
6510,1992-09-30,New Zealand,0.1
6518,1992-09-30,Sweden,-12.0
6524,1992-09-30,United States,-3.4
6525,1992-09-30,Euro area,0.91
6526,1992-09-30,South Africa,-11.77
6535,1992-12-31,Canada,3.06
6536,1992-12-31,Switzerland,-9.31
6539,1992-12-31,Colombia,-7.84
6548,1992-12-31,United Kingdom,-9.84
6550,1992-12-31,Hong Kong SAR,6.81
6558,1992-12-31,Italy,8.89
6560,1992-12-31,Korea,-10.3
6571,1992-12-31,New Zealand,0.39
6579,1992-12-31,Sweden,-16.8
6585,1992-12-31,United States,-2.77
6586,1992-12-31,Euro area,0.35
6587,1992-12-31,South Africa,-9.43
6596,1993-03-31,Canada,1.93
6597,1993-03-31,Switzerland,-9.53
6600,1993-03-31,Colombia,-5.74
6609,1993-03-31,United Kingdom,-7.56
6611,1993-03-31,Hong Kong SAR,-2.07
6619,1993-03-31,Italy,3.72
6621,1993-03-31,Korea,-8.5
6631,1993-03-31,Norway,-7.72
6632,1993-03-31,New Zealand,2.31
6640,1993-03-31,Sweden,-19.06
6646,1993-03-31,United States,-2.83
6647,1993-03-31,Euro area,-0.52
6648,1993-03-31,South Africa,-7.22
6657,1993-06-30,Canada,1.48
6658,1993-06-30,Switzerland,-8.12
6661,1993-06-30,Colombia,-1.39
6670,1993-06-30,United Kingdom,-4.53
6672,1993-06-30,Hong Kong SAR,-3.57
6680,1993-06-30,Italy,0.49
6682,1993-06-30,Korea,-7.54
6692,1993-06-30,Norway,-3.39
6693,1993-06-30,New Zealand,1.44
6701,1993-06-30,Sweden,-17.47
6707,1993-06-30,United States,-2.18
6708,1993-06-30,Euro area,-0.8
6709,1993-06-30,South Africa,-5.79
6718,1993-09-30,Canada,-0.96
6719,1993-09-30,Switzerland,-7.62
6722,1993-09-30,Colombia,4.82
6731,1993-09-30,United Kingdom,-3.32
6733,1993-09-30,Hong Kong SAR,1.68
6741,1993-09-30,Italy,-0.72
6743,1993-09-30,Korea,-7.1
6753,1993-09-30,Norway,-0.04
6754,1993-09-30,New Zealand,2.55
6762,1993-09-30,Sweden,-15.11
6768,1993-09-30,United States,-0.89
6769,1993-09-30,Euro area,-1.19
6770,1993-09-30,South Africa,-1.86
6779,1993-12-31,Canada,-1.93
6780,1993-12-31,Switzerland,-5.61
6783,1993-12-31,Colombia,6.52
6792,1993-12-31,United Kingdom,-0.84
6794,1993-12-31,Hong Kong SAR,5.06
6802,1993-12-31,Italy,-2.64
