country,date,price,year,quarter
Switzerland,1974-03-31,-0.62,1974,1
United Kingdom,1974-03-31,14.29,1974,1
South Africa,1974-03-31,13.24,1974,1
Canada,1974-06-30,35.88,1974,2
Switzerland,1974-06-30,0.42,1974,2
United Kingdom,1974-06-30,8.64,1974,2
South Africa,1974-06-30,11.9,1974,2
Canada,1974-09-30,25.31,1974,3
Switzerland,1974-09-30,-0.93,1974,3
United Kingdom,1974-09-30,3.49,1974,3
South Africa,1974-09-30,6.3,1974,3
Canada,1974-12-31,14.73,1974,4
Switzerland,1974-12-31,-0.23,1974,4
United Kingdom,1974-12-31,3.45,1974,4
South Africa,1974-12-31,2.59,1974,4
Canada,1975-03-31,9.26,1975,1
Switzerland,1975-03-31,-3.53,1975,1
United Kingdom,1975-03-31,3.41,1975,1
South Africa,1975-03-31,8.66,1975,1
Canada,1975-06-30,7.99,1975,2
Switzerland,1975-06-30,-4.96,1975,2
United Kingdom,1975-06-30,5.68,1975,2
South Africa,1975-06-30,8.51,1975,2
Canada,1975-09-30,12.44,1975,3
Switzerland,1975-09-30,-6.58,1975,3
United Kingdom,1975-09-30,7.87,1975,3
South Africa,1975-09-30,8.48,1975,3
Canada,1975-12-31,16.78,1975,4
Switzerland,1975-12-31,-6.33,1975,4
United Kingdom,1975-12-31,7.78,1975,4
South Africa,1975-12-31,10.55,1975,4
Canada,1976-03-31,15.68,1976,1
Switzerland,1976-03-31,-4.87,1976,1
United Kingdom,1976-03-31,8.79,1976,1
South Africa,1976-03-31,6.37,1976,1
Canada,1976-06-30,13.28,1976,2
Switzerland,1976-06-30,-3.14,1976,2
United Kingdom,1976-06-30,9.68,1976,2
South Africa,1976-06-30,7.06,1976,2
Canada,1976-09-30,10.01,1976,3
Switzerland,1976-09-30,-3.23,1976,3
United Kingdom,1976-09-30,8.33,1976,3
South Africa,1976-09-30,6.64,1976,3
Canada,1976-12-31,9.61,1976,4
Switzerland,1976-12-31,0.18,1976,4
United Kingdom,1976-12-31,9.28,1976,4
United States,1976-12-31,13.63,1976,4
South Africa,1976-12-31,3.82,1976,4
Canada,1977-03-31,6.04,1977,1
Switzerland,1977-03-31,2.43,1977,1
United Kingdom,1977-03-31,7.07,1977,1
United States,1977-03-31,13.15,1977,1
South Africa,1977-03-31,2.25,1977,1
Canada,1977-06-30,5.23,1977,2
Switzerland,1977-06-30,2.85,1977,2
United Kingdom,1977-06-30,5.88,1977,2
United States,1977-06-30,17.33,1977,2
South Africa,1977-06-30,1.46,1977,2
Canada,1977-09-30,4.66,1977,3
Switzerland,1977-09-30,6.19,1977,3
United Kingdom,1977-09-30,6.73,1977,3
United States,1977-09-30,16.83,1977,3
South Africa,1977-09-30,1.46,1977,3
Canada,1977-12-31,3.77,1977,4
Switzerland,1977-12-31,2.71,1977,4
United Kingdom,1977-12-31,8.49,1977,4
United States,1977-12-31,16.21,1977,4
South Africa,1977-12-31,2.57,1977,4
Canada,1978-03-31,2.49,1978,1
Switzerland,1978-03-31,1.66,1978,1
United Kingdom,1978-03-31,10.38,1978,1
United States,1978-03-31,15.88,1978,1
South Africa,1978-03-31,3.29,1978,1
Canada,1978-06-30,5.11,1978,2
Switzerland,1978-06-30,3.23,1978,2
United Kingdom,1978-06-30,13.89,1978,2
United States,1978-06-30,14.94,1978,2
South Africa,1978-06-30,2.17,1978,2
Canada,1978-09-30,5.31,1978,3
Switzerland,1978-09-30,2.82,1978,3
United Kingdom,1978-09-30,18.02,1978,3
United States,1978-09-30,15.13,1978,3
South Africa,1978-09-30,4.33,1978,3
Canada,1978-12-31,7.24,1978,4
Switzerland,1978-12-31,6.3,1978,4
United Kingdom,1978-12-31,22.61,1978,4
United States,1978-12-31,15.33,1978,4
South Africa,1978-12-31,7.17,1978,4
Canada,1979-03-31,11.26,1979,1
Switzerland,1979-03-31,8.84,1979,1
United Kingdom,1979-03-31,26.5,1979,1
United States,1979-03-31,15.7,1979,1
South Africa,1979-03-31,8.51,1979,1
Canada,1979-06-30,10.46,1979,2
Switzerland,1979-06-30,6.22,1979,2
United Kingdom,1979-06-30,30.08,1979,2
United States,1979-06-30,16.54,1979,2
South Africa,1979-06-30,11.66,1979,2
Canada,1979-09-30,10.14,1979,3
Switzerland,1979-09-30,8.57,1979,3
United Kingdom,1979-09-30,31.3,1979,3
United States,1979-09-30,16.69,1979,3
South Africa,1979-09-30,13.84,1979,3
Canada,1979-12-31,9.82,1979,4
Switzerland,1979-12-31,8.53,1979,4
United Kingdom,1979-12-31,29.79,1979,4
United States,1979-12-31,16.69,1979,4
South Africa,1979-12-31,14.38,1979,4
Canada,1980-03-31,7.78,1980,1
Switzerland,1980-03-31,11.55,1980,1
United Kingdom,1980-03-31,29.05,1980,1
United States,1980-03-31,14.54,1980,1
South Africa,1980-03-31,16.02,1980,1
Canada,1980-06-30,9.75,1980,2
Switzerland,1980-06-30,9.69,1980,2
United Kingdom,1980-06-30,23.75,1980,2
United States,1980-06-30,11.81,1980,2
South Africa,1980-06-30,19.94,1980,2
Canada,1980-09-30,14.78,1980,3
Switzerland,1980-09-30,7.8,1980,3
United Kingdom,1980-09-30,19.77,1980,3
United States,1980-09-30,10.39,1980,3
South Africa,1980-09-30,25.84,1980,3
Canada,1980-12-31,16.88,1980,4
Switzerland,1980-12-31,6.62,1980,4
United Kingdom,1980-12-31,13.11,1980,4
New Zealand,1980-12-31,12.35,1980,4
United States,1980-12-31,8.94,1980,4
South Africa,1980-12-31,32.46,1980,4
Canada,1981-03-31,19.58,1981,1
Switzerland,1981-03-31,6.69,1981,1
United Kingdom,1981-03-31,8.38,1981,1
New Zealand,1981-03-31,14.48,1981,1
United States,1981-03-31,8.62,1981,1
South Africa,1981-03-31,38.59,1981,1
Canada,1981-06-30,15.8,1981,2
Switzerland,1981-06-30,11.56,1981,2
United Kingdom,1981-06-30,7.58,1981,2
New Zealand,1981-06-30,20.51,1981,2
United States,1981-06-30,8.19,1981,2
South Africa,1981-06-30,40.9,1981,2
Canada,1981-09-30,14.06,1981,3
Switzerland,1981-09-30,9.98,1981,3
United Kingdom,1981-09-30,4.85,1981,3
New Zealand,1981-09-30,25.48,1981,3
United States,1981-09-30,6.35,1981,3
South Africa,1981-09-30,39.13,1981,3
Canada,1981-12-31,8.8,1981,4
Switzerland,1981-12-31,9.73,1981,4
United Kingdom,1981-12-31,2.42,1981,4
New Zealand,1981-12-31,31.57,1981,4
United States,1981-12-31,5.18,1981,4
South Africa,1981-12-31,34.88,1981,4
Canada,1982-03-31,0.55,1982,1
Switzerland,1982-03-31,8.01,1982,1
United Kingdom,1982-03-31,0.0,1982,1
New Zealand,1982-03-31,37.13,1982,1
United States,1982-03-31,3.83,1982,1
South Africa,1982-03-31,29.27,1982,1
Canada,1982-06-30,-4.41,1982,2
Switzerland,1982-06-30,4.07,1982,2
United Kingdom,1982-06-30,1.41,1982,2
New Zealand,1982-06-30,36.87,1982,2
United States,1982-06-30,2.51,1982,2
South Africa,1982-06-30,23.03,1982,2
Canada,1982-09-30,-8.54,1982,3
Switzerland,1982-09-30,4.02,1982,3
United Kingdom,1982-09-30,2.31,1982,3
New Zealand,1982-09-30,30.11,1982,3
United States,1982-09-30,1.78,1982,3
South Africa,1982-09-30,17.19,1982,3
Canada,1982-12-31,-7.88,1982,4
Switzerland,1982-12-31,3.85,1982,4
United Kingdom,1982-12-31,5.66,1982,4
New Zealand,1982-12-31,22.99,1982,4
United States,1982-12-31,1.39,1982,4
South Africa,1982-12-31,13.59,1982,4
Canada,1983-03-31,2.59,1983,1
Switzerland,1983-03-31,1.63,1983,1
United Kingdom,1983-03-31,11.59,1983,1
New Zealand,1983-03-31,14.9,1983,1
United States,1983-03-31,1.87,1983,1
South Africa,1983-03-31,15.57,1983,1
Canada,1983-06-30,7.02,1983,2
Switzerland,1983-06-30,4.13,1983,2
United Kingdom,1983-06-30,10.65,1983,2
New Zealand,1983-06-30,7.96,1983,2
United States,1983-06-30,3.07,1983,2
South Africa,1983-06-30,18.72,1983,2
Canada,1983-09-30,7.69,1983,3
Switzerland,1983-09-30,6.15,1983,3
United Kingdom,1983-09-30,12.67,1983,3
New Zealand,1983-09-30,8.17,1983,3
United States,1983-09-30,4.37,1983,3
South Africa,1983-09-30,21.33,1983,3
Canada,1983-12-31,5.79,1983,4
Switzerland,1983-12-31,6.05,1983,4
United Kingdom,1983-12-31,12.05,1983,4
New Zealand,1983-12-31,9.3,1983,4
United States,1983-12-31,5.04,1983,4
South Africa,1983-12-31,24.78,1983,4
Canada,1984-03-31,-1.08,1984,1
Switzerland,1984-03-31,7.28,1984,1
United Kingdom,1984-03-31,9.52,1984,1
New Zealand,1984-03-31,11.59,1984,1
United States,1984-03-31,5.33,1984,1
South Africa,1984-03-31,20.54,1984,1
Canada,1984-06-30,-0.45,1984,2
Switzerland,1984-06-30,7.99,1984,2
United Kingdom,1984-06-30,9.21,1984,2
New Zealand,1984-06-30,13.2,1984,2
United States,1984-06-30,5.22,1984,2
South Africa,1984-06-30,13.33,1984,2
Canada,1984-09-30,-1.03,1984,3
Switzerland,1984-09-30,5.19,1984,3
United Kingdom,1984-09-30,8.84,1984,3
New Zealand,1984-09-30,13.56,1984,3
United States,1984-09-30,5.07,1984,3
South Africa,1984-09-30,6.59,1984,3
Canada,1984-12-31,-0.16,1984,4
Switzerland,1984-12-31,4.46,1984,4
United Kingdom,1984-12-31,9.56,1984,4
New Zealand,1984-12-31,13.05,1984,4
United States,1984-12-31,4.71,1984,4
South Africa,1984-12-31,-2.08,1984,4
Canada,1985-03-31,2.04,1985,1
Switzerland,1985-03-31,6.38,1985,1
United Kingdom,1985-03-31,8.7,1985,1
New Zealand,1985-03-31,13.03,1985,1
United States,1985-03-31,4.65,1985,1
South Africa,1985-03-31,-7.11,1985,1
Canada,1985-06-30,3.82,1985,2
Switzerland,1985-06-30,3.47,1985,2
United Kingdom,1985-06-30,9.2,1985,2
New Zealand,1985-06-30,13.6,1985,2
United States,1985-06-30,5.17,1985,2
South Africa,1985-06-30,-8.6,1985,2
Canada,1985-09-30,6.29,1985,3
Switzerland,1985-09-30,5.2,1985,3
United Kingdom,1985-09-30,7.38,1985,3
New Zealand,1985-09-30,14.79,1985,3
United States,1985-09-30,5.35,1985,3
South Africa,1985-09-30,-8.82,1985,3
Canada,1985-12-31,9.44,1985,4
Switzerland,1985-12-31,5.61,1985,4
United Kingdom,1985-12-31,9.45,1985,4
New Zealand,1985-12-31,15.17,1985,4
United States,1985-12-31,6.4,1985,4
South Africa,1985-12-31,-6.37,1985,4
Canada,1986-03-31,13.44,1986,1
Switzerland,1986-03-31,5.97,1986,1
United Kingdom,1986-03-31,11.64,1986,1
New Zealand,1986-03-31,13.52,1986,1
United States,1986-03-31,7.11,1986,1
South Africa,1986-03-31,-4.62,1986,1
Canada,1986-06-30,16.45,1986,2
Switzerland,1986-06-30,5.39,1986,2
United Kingdom,1986-06-30,12.63,1986,2
New Zealand,1986-06-30,10.84,1986,2
United States,1986-06-30,7.4,1986,2
South Africa,1986-06-30,-4.58,1986,2
Canada,1986-09-30,17.85,1986,3
Switzerland,1986-09-30,5.91,1986,3
United Kingdom,1986-09-30,15.12,1986,3
New Zealand,1986-09-30,9.08,1986,3
United States,1986-09-30,8.37,1986,3
South Africa,1986-09-30,-3.77,1986,3
Canada,1986-12-31,20.85,1986,4
Switzerland,1986-12-31,5.57,1986,4
United Kingdom,1986-12-31,14.62,1986,4
New Zealand,1986-12-31,7.92,1986,4
United States,1986-12-31,8.59,1986,4
South Africa,1986-12-31,-2.9,1986,4
Canada,1987-03-31,23.83,1987,1
Switzerland,1987-03-31,4.71,1987,1
United Kingdom,1987-03-31,15.64,1987,1
South Korea,1987-03-31,-3.03,1987,1
New Zealand,1987-03-31,11.81,1987,1
Sweden,1987-03-31,11.71,1987,1
United States,1987-03-31,9.33,1987,1
South Africa,1987-03-31,1.66,1987,1
Canada,1987-06-30,16.47,1987,2
Switzerland,1987-06-30,8.21,1987,2
United Kingdom,1987-06-30,15.58,1987,2
South Korea,1987-06-30,-1.95,1987,2
New Zealand,1987-06-30,15.77,1987,2
Sweden,1987-06-30,12.39,1987,2
United States,1987-06-30,9.68,1987,2
South Africa,1987-06-30,7.91,1987,2
Canada,1987-09-30,14.51,1987,3
Switzerland,1987-09-30,7.95,1987,3
United Kingdom,1987-09-30,16.12,1987,3
South Korea,1987-09-30,0.52,1987,3
New Zealand,1987-09-30,18.76,1987,3
Sweden,1987-09-30,12.93,1987,3
United States,1987-09-30,9.51,1987,3
South Africa,1987-09-30,12.53,1987,3
Canada,1987-12-31,12.99,1987,4
Switzerland,1987-12-31,9.58,1987,4
United Kingdom,1987-12-31,19.71,1987,4
South Korea,1987-12-31,6.15,1987,4
New Zealand,1987-12-31,21.71,1987,4
Sweden,1987-12-31,14.29,1987,4
United States,1987-12-31,9.37,1987,4
South Africa,1987-12-31,16.99,1987,4
Canada,1988-03-31,13.86,1988,1
Switzerland,1988-03-31,10.62,1988,1
United Kingdom,1988-03-31,21.13,1988,1
South Korea,1988-03-31,11.47,1988,1
New Zealand,1988-03-31,18.46,1988,1
Sweden,1988-03-31,15.32,1988,1
United States,1988-03-31,8.36,1988,1
South Africa,1988-03-31,17.17,1988,1
Canada,1988-06-30,17.7,1988,2
Switzerland,1988-06-30,11.42,1988,2
United Kingdom,1988-06-30,22.91,1988,2
South Korea,1988-06-30,17.53,1988,2
New Zealand,1988-06-30,16.08,1988,2
Sweden,1988-06-30,17.32,1988,2
United States,1988-06-30,8.49,1988,2
South Africa,1988-06-30,14.78,1988,2
Canada,1988-09-30,18.87,1988,3
Switzerland,1988-09-30,13.73,1988,3
United Kingdom,1988-09-30,32.65,1988,3
South Korea,1988-09-30,19.52,1988,3
New Zealand,1988-09-30,11.43,1988,3
Sweden,1988-09-30,20.61,1988,3
United States,1988-09-30,9.22,1988,3
South Africa,1988-09-30,14.96,1988,3
Canada,1988-12-31,21.87,1988,4
Switzerland,1988-12-31,16.25,1988,4
United Kingdom,1988-12-31,32.69,1988,4
South Korea,1988-12-31,13.87,1988,4
New Zealand,1988-12-31,7.19,1988,4
Sweden,1988-12-31,19.12,1988,4
United States,1988-12-31,9.77,1988,4
South Africa,1988-12-31,13.64,1988,4
Canada,1989-03-31,22.74,1989,1
Switzerland,1989-03-31,15.15,1989,1
Colombia,1989-03-31,31.67,1989,1
United Kingdom,1989-03-31,30.23,1989,1
South Korea,1989-03-31,13.7,1989,1
New Zealand,1989-03-31,6.84,1989,1
Sweden,1989-03-31,20.28,1989,1
United States,1989-03-31,10.3,1989,1
South Africa,1989-03-31,13.05,1989,1
Canada,1989-06-30,9.82,1989,2
Switzerland,1989-06-30,13.19,1989,2
Colombia,1989-06-30,44.94,1989,2
United Kingdom,1989-06-30,27.19,1989,2
South Korea,1989-06-30,16.23,1989,2
New Zealand,1989-06-30,4.8,1989,2
Sweden,1989-06-30,20.81,1989,2
United States,1989-06-30,9.16,1989,2
South Africa,1989-06-30,15.81,1989,2
Canada,1989-09-30,11.29,1989,3
Switzerland,1989-09-30,10.26,1989,3
Colombia,1989-09-30,25.23,1989,3
United Kingdom,1989-09-30,16.28,1989,3
South Korea,1989-09-30,12.64,1989,3
New Zealand,1989-09-30,6.1,1989,3
Sweden,1989-09-30,18.35,1989,3
United States,1989-09-30,7.59,1989,3
South Africa,1989-09-30,15.64,1989,3
Canada,1989-12-31,8.81,1989,4
Switzerland,1989-12-31,7.87,1989,4
Colombia,1989-12-31,33.56,1989,4
United Kingdom,1989-12-31,7.3,1989,4
South Korea,1989-12-31,13.93,1989,4
New Zealand,1989-12-31,7.31,1989,4
Sweden,1989-12-31,16.05,1989,4
United States,1989-12-31,6.4,1989,4
South Africa,1989-12-31,14.24,1989,4
Canada,1990-03-31,-2.88,1990,1
Switzerland,1990-03-31,5.17,1990,1
Colombia,1990-03-31,29.87,1990,1
United Kingdom,1990-03-31,2.86,1990,1
South Korea,1990-03-31,15.46,1990,1
New Zealand,1990-03-31,6.89,1990,1
Sweden,1990-03-31,15.7,1990,1
United States,1990-03-31,5.23,1990,1
South Africa,1990-03-31,15.52,1990,1
Canada,1990-06-30,-0.83,1990,2
Switzerland,1990-06-30,3.99,1990,2
Colombia,1990-06-30,21.48,1990,2
United Kingdom,1990-06-30,-1.55,1990,2
South Korea,1990-06-30,14.92,1990,2
New Zealand,1990-06-30,7.02,1990,2
Sweden,1990-06-30,12.78,1990,2
United States,1990-06-30,3.96,1990,2
South Africa,1990-06-30,15.46,1990,2
Canada,1990-09-30,-2.6,1990,3
Switzerland,1990-09-30,1.72,1990,3
Colombia,1990-09-30,28.97,1990,3
United Kingdom,1990-09-30,-3.17,1990,3
South Korea,1990-09-30,17.21,1990,3
New Zealand,1990-09-30,5.22,1990,3
Sweden,1990-09-30,10.7,1990,3
United States,1990-09-30,2.2,1990,3
South Africa,1990-09-30,14.05,1990,3
Canada,1990-12-31,-7.13,1990,4
Switzerland,1990-12-31,-2.47,1990,4
Colombia,1990-12-31,26.93,1990,4
United Kingdom,1990-12-31,-2.72,1990,4
South Korea,1990-12-31,20.81,1990,4
New Zealand,1990-12-31,2.8,1990,4
Sweden,1990-12-31,8.51,1990,4
United States,1990-12-31,0.27,1990,4
South Africa,1990-12-31,13.83,1990,4
Canada,1991-03-31,-0.87,1991,1
Switzerland,1991-03-31,-3.2,1991,1
Colombia,1991-03-31,16.17,1991,1
United Kingdom,1991-03-31,-2.08,1991,1
Italy,1991-03-31,17.62,1991,1
South Korea,1991-03-31,17.51,1991,1
New Zealand,1991-03-31,-1.14,1991,1
Sweden,1991-03-31,9.55,1991,1
United States,1991-03-31,-1.27,1991,1
South Africa,1991-03-31,12.61,1991,1
Canada,1991-06-30,10.01,1991,2
Switzerland,1991-06-30,-2.53,1991,2
Colombia,1991-06-30,28.3,1991,2
United Kingdom,1991-06-30,-1.58,1991,2
Italy,1991-06-30,17.18,1991,2
South Korea,1991-06-30,13.4,1991,2
New Zealand,1991-06-30,-3.17,1991,2
Sweden,1991-06-30,6.9,1991,2
United States,1991-06-30,-1.15,1991,2
South Africa,1991-06-30,12.22,1991,2
Canada,1991-09-30,3.26,1991,3
Switzerland,1991-09-30,0.58,1991,3
Colombia,1991-09-30,17.98,1991,3
United Kingdom,1991-09-30,-1.38,1991,3
Italy,1991-09-30,15.46,1991,3
South Korea,1991-09-30,9.61,1991,3
New Zealand,1991-09-30,-2.54,1991,3
Sweden,1991-09-30,5.31,1991,3
United States,1991-09-30,-0.87,1991,3
South Africa,1991-09-30,13.85,1991,3
Canada,1991-12-31,3.68,1991,4
Switzerland,1991-12-31,0.03,1991,4
Colombia,1991-12-31,21.14,1991,4
United Kingdom,1991-12-31,-0.7,1991,4
Italy,1991-12-31,13.42,1991,4
South Korea,1991-12-31,1.93,1991,4
New Zealand,1991-12-31,-2.48,1991,4
Sweden,1991-12-31,5.88,1991,4
United States,1991-12-31,-0.61,1991,4
South Africa,1991-12-31,14.85,1991,4
Canada,1992-03-31,0.54,1992,1
Switzerland,1992-03-31,-0.74,1992,1
Colombia,1992-03-31,23.83,1992,1
United Kingdom,1992-03-31,-0.89,1992,1
Italy,1992-03-31,14.7,1992,1
South Korea,1992-03-31,-3.11,1992,1
New Zealand,1992-03-31,-1.22,1992,1
Sweden,1992-03-31,-5.5,1992,1
United States,1992-03-31,0.12,1992,1
South Africa,1992-03-31,11.85,1992,1
Canada,1992-06-30,-2.15,1992,2
Switzerland,1992-06-30,-2.67,1992,2
Colombia,1992-06-30,18.06,1992,2
United Kingdom,1992-06-30,-3.02,1992,2
Italy,1992-06-30,15.15,1992,2
South Korea,1992-06-30,-8.21,1992,2
New Zealand,1992-06-30,1.28,1992,2
Sweden,1992-06-30,-6.91,1992,2
United States,1992-06-30,-0.35,1992,2
South Africa,1992-06-30,5.37,1992,2
Canada,1992-09-30,3.94,1992,3
Switzerland,1992-09-30,-7.41,1992,3
Colombia,1992-09-30,20.19,1992,3
United Kingdom,1992-09-30,-4.54,1992,3
Italy,1992-09-30,15.67,1992,3
South Korea,1992-09-30,-8.59,1992,3
New Zealand,1992-09-30,1.07,1992,3
Sweden,1992-09-30,-10.09,1992,3
United States,1992-09-30,-0.41,1992,3
South Africa,1992-09-30,0.74,1992,3
Canada,1992-12-31,4.92,1992,4
Switzerland,1992-12-31,-6.21,1992,4
Colombia,1992-12-31,15.85,1992,4
United Kingdom,1992-12-31,-7.39,1992,4
Italy,1992-12-31,14.18,1992,4
South Korea,1992-12-31,-6.05,1992,4
New Zealand,1992-12-31,1.72,1992,4
Sweden,1992-12-31,-15.28,1992,4
United States,1992-12-31,0.19,1992,4
South Africa,1992-12-31,0.33,1992,4
Canada,1993-03-31,4.09,1993,1
Switzerland,1993-03-31,-6.36,1993,1
Colombia,1993-03-31,17.41,1993,1
United Kingdom,1993-03-31,-5.37,1993,1
Italy,1993-03-31,8.47,1993,1
South Korea,1993-03-31,-4.27,1993,1
Norway,1993-03-31,-5.32,1993,1
New Zealand,1993-03-31,3.3,1993,1
Sweden,1993-03-31,-15.05,1993,1
United States,1993-03-31,0.28,1993,1
South Africa,1993-03-31,1.5,1993,1
Canada,1993-06-30,3.29,1993,2
Switzerland,1993-06-30,-4.9,1993,2
Colombia,1993-06-30,20.52,1993,2
United Kingdom,1993-06-30,-2.2,1993,2
Italy,1993-06-30,5.06,1993,2
South Korea,1993-06-30,-3.21,1993,2
Norway,1993-06-30,-1.06,1993,2
New Zealand,1993-06-30,2.77,1993,2
Sweden,1993-06-30,-13.37,1993,2
United States,1993-06-30,0.9,1993,2
South Africa,1993-06-30,4.24,1993,2
Canada,1993-09-30,0.77,1993,3
Switzerland,1993-09-30,-4.4,1993,3
Colombia,1993-09-30,26.81,1993,3
United Kingdom,1993-09-30,-0.55,1993,3
Italy,1993-09-30,4.05,1993,3
South Korea,1993-09-30,-2.97,1993,3
Norway,1993-09-30,2.11,1993,3
New Zealand,1993-09-30,4.07,1993,3
Sweden,1993-09-30,-11.22,1993,3
United States,1993-09-30,1.83,1993,3
South Africa,1993-09-30,7.34,1993,3
Canada,1993-12-31,-0.15,1993,4
Switzerland,1993-12-31,-3.06,1993,4
Colombia,1993-12-31,30.22,1993,4
United Kingdom,1993-12-31,1.52,1993,4
Italy,1993-12-31,1.81,1993,4
South Korea,1993-12-31,-3.3,1993,4
Norway,1993-12-31,8.11,1993,4
New Zealand,1993-12-31,6.31,1993,4
Sweden,1993-12-31,-3.83,1993,4
United States,1993-12-31,2.38,1993,4
South Africa,1993-12-31,6.9,1993,4
Canada,1994-03-31,3.45,1994,1
Switzerland,1994-03-31,-0.11,1994,1
Colombia,1994-03-31,36.34,1994,1
United Kingdom,1994-03-31,2.08,1994,1
Italy,1994-03-31,-0.03,1994,1
South Korea,1994-03-31,-2.89,1994,1
Norway,1994-03-31,15.73,1994,1
New Zealand,1994-03-31,11.13,1994,1
Sweden,1994-03-31,2.29,1994,1
United States,1994-03-31,2.51,1994,1
South Africa,1994-03-31,8.01,1994,1
Canada,1994-06-30,2.59,1994,2
Switzerland,1994-06-30,-0.74,1994,2
Colombia,1994-06-30,30.6,1994,2
United Kingdom,1994-06-30,2.63,1994,2
Italy,1994-06-30,-1.7,1994,2
South Korea,1994-06-30,-2.23,1994,2
Norway,1994-06-30,13.37,1994,2
New Zealand,1994-06-30,13.79,1994,2
Sweden,1994-06-30,5.14,1994,2
United States,1994-06-30,2.61,1994,2
South Africa,1994-06-30,11.25,1994,2
Canada,1994-09-30,3.25,1994,3
Switzerland,1994-09-30,0.94,1994,3
Colombia,1994-09-30,33.03,1994,3
United Kingdom,1994-09-30,2.39,1994,3
Italy,1994-09-30,-1.81,1994,3
South Korea,1994-09-30,-0.98,1994,3
Norway,1994-09-30,13.92,1994,3
New Zealand,1994-09-30,15.01,1994,3
Sweden,1994-09-30,6.9,1994,3
United States,1994-09-30,2.33,1994,3
South Africa,1994-09-30,11.93,1994,3
Canada,1994-12-31,3.21,1994,4
Switzerland,1994-12-31,-0.79,1994,4
Colombia,1994-12-31,35.03,1994,4
United Kingdom,1994-12-31,3.56,1994,4
Italy,1994-12-31,-1.39,1994,4
South Korea,1994-12-31,-0.3,1994,4
Norway,1994-12-31,10.0,1994,4
New Zealand,1994-12-31,14.57,1994,4
Sweden,1994-12-31,3.98,1994,4
United States,1994-12-31,1.88,1994,4
South Africa,1994-12-31,11.51,1994,4
Canada,1995-03-31,-3.89,1995,1
Switzerland,1995-03-31,-2.92,1995,1
Colombia,1995-03-31,31.43,1995,1
United Kingdom,1995-03-31,1.48,1995,1
Israel,1995-03-31,17.72,1995,1
Italy,1995-03-31,-1.25,1995,1
South Korea,1995-03-31,-0.23,1995,1
